Feature:,Flag:,Collapse Group:,Notes:
oc_AMD (Avastin injections),OC: AMD diagnosis note (LABEL LEAKAGE),,"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_AMD (Lucentis injections),OC: AMD diagnosis note (LABEL LEAKAGE),,"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_AMD (OD),OC: AMD diagnosis note (LABEL LEAKAGE),,"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_AMD (took vitamins),OC: AMD diagnosis note (LABEL LEAKAGE),,"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_AMD (wet),OC: AMD diagnosis note (LABEL LEAKAGE),,"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_AMD -took vitamins,OC: AMD diagnosis note (LABEL LEAKAGE),,"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_AMD?,OC: AMD diagnosis note (LABEL LEAKAGE),,"This restates the AMD diagnosis itself and should be excluded from features, not just consolidated. ""oc_AMD (wet)"" was flagged separately as having slipped past the current leakage filter -- confirm it and all AMD-note variants here are excluded."
oc_macular degeneraton,OC: AMD diagnosis note (LABEL LEAKAGE),,"Likely typo for ""macular degeneration"" -- another AMD chart note that restates the label; should be excluded as leakage, same as the oc_AMD variants."
oc_on Ocuvite,OC: AMD treatment (injection/supplement),,"Retinal injections and Ocuvite (a vitamin supplement) are typically AMD treatments -- like the AMD chart notes above, these may indirectly restate AMD status and are worth reviewing as potential leakage, not just typos to merge."
oc_retinal injection,OC: AMD treatment (injection/supplement),,"Retinal injections and Ocuvite (a vitamin supplement) are typically AMD treatments -- like the AMD chart notes above, these may indirectly restate AMD status and are worth reviewing as potential leakage, not just typos to merge."
oc_confirmed aphakic (OD),"OC: Aphakic (lens removed, not replaced)",,Distinct from pseudophakic -- lens removed with no replacement implant. Do not merge with pseudophakic.
oc_Cataracts; confirmed pseudophakic),OC: Cataracts + pseudophakic (compound entry),,"Compound entry combining two conditions in one cell -- needs to be split into separate cataracts and pseudophakic flags during cleanup, not just relabeled."
oc_outer layer chemical damage fixed,OC: Chemical eye injury,,
oc_contact lens,OC: Contact lens use,,
oc_cornea transplant,OC: Corneal transplant,,
oc_Saw eye doctor,OC: Eye doctor visit (non-diagnostic),,"Records that an eye exam occurred, not a specific diagnosis -- low information value as a feature."
oc_cosmetic lid sx,OC: Eyelid surgery,,sx = surgery.
oc_eyelid sx(inversion of eyelid),OC: Eyelid surgery,,sx = surgery.
oc_eyelid sx(since child),OC: Eyelid surgery,,sx = surgery.
oc_Glaucoma,OC: Glaucoma / elevated IOP treatment,,IOP = intraocular pressure. IOL = intraocular lens (surgical implant) -- verify whether this IOL surgery row belongs here or with cataract/pseudophakic surgery group instead.
oc_eyes med to decrease IOP,OC: Glaucoma / elevated IOP treatment,,IOP = intraocular pressure. IOL = intraocular lens (surgical implant) -- verify whether this IOL surgery row belongs here or with cataract/pseudophakic surgery group instead.
mh_Lasik surgery ~10 years ago,OC: LASIK / refractive surgery,,
oc_lasik surgery (OS) 8 yrs ago,OC: LASIK / refractive surgery,,
oc_sensitive to light,OC: Light sensitivity,,
oc_Ocular Albinism,OC: Ocular albinism,,
oc_herpes/shingles infection in eye,OC: Ocular herpes/shingles infection,,
oc_metal fragment penetrate one eye - removed by dr. (2 yr ago),OC: Penetrating eye injury (foreign body),,
oc_drops at time of surgery,OC: Peri-surgical eye drops,,"Refers to drops used during/around a surgical procedure, not a chronic dry-eye diagnosis -- keep separate from the dry eye group above."
oc_confirmed phakic (OS),OC: Phakic (natural lens),,"Has natural (not artificial) lens -- essentially the absence of pseudophakic status. ""confirmed phakis"" looks like a typo for ""phakic"". Laterality variants (OD/OS/OU) present."
oc_confirmed pseudophakic (OS),OC: Pseudophakic (artificial lens),,"keep separate from cataracts -- pseudophakic isn't always caused by cataracts. Includes typos: ""confimred"", ""pseduophakic"" (letters transposed), ""pseeudophakic"". Laterality (OD/OS/OU) preserved as real clinical info; only spelling/typo variants are merge candidates."
oc_Retinal occlusion (OD) - surgery 2011,OC: Retinal occlusion,,"Distinct condition from retinal detachment -- a vascular blockage, not a structural detachment."
oc_bilat severe visual impairment,OC: Severe visual impairment/blindness,,"""oc_patially blind"" looks like a typo for ""partially blind""."
oc_patially blind due to blod clot (OD),OC: Severe visual impairment/blindness,,"""oc_patially blind"" looks like a typo for ""partially blind""."
oc_?,OC: no history recorded,,Consider treating as missing data.
oc_n/a,OC: no history recorded,,Consider treating as missing data.
oc_unknown,OC: no history recorded,,Consider treating as missing data.
